category,name,star_rating,cuisine,speed,avg_price_per_meal,area,what_i_got,notes,tags
Directory Import,domino's,,pizza,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 396 Baxter Street, Athens, 30605. OSM hours: Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00.",osm|directory-import|active-unverified|fast-food|pizza|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,dooley's bar & grill,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 269 East Broad Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,dos palmas,,mexican,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3523 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|mexican|has-address|source-openstreetmap
Directory Import,doughby's pizza,,pizza,fast,,athens area,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|fast-food|pizza|chain|fast-casual|source-openstreetmap
Directory Import,dp dough,,pizza,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 180 West Broad Street, Athens, 30601.",osm|directory-import|active-unverified|restaurant|pizza|has-address|source-openstreetmap
Directory Import,dq grill & chill,,burgers,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 900 Highway 29 North, Athens, 30601-1513.",osm|directory-import|active-unverified|fast-food|burgers|chain|fast-casual|has-address|source-openstreetmap
Directory Import,duke's & dottie's,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 346 East Broad Street, Athens. OSM hours: Th-Sa 21:00-02:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,dunkin',,coffee,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 935 Highway 29 North, Athens, 30601. OSM hours: 06:00-21:00.",osm|directory-import|active-unverified|fast-food|coffee|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,dunkin' donuts,,coffee,fast,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|fast-food|coffee|chain|fast-casual|source-openstreetmap
Directory Import,eddie’s calzones & drafts,,restaurant,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 227 East Clayton Street, Athens, 30601.",osm|directory-import|active-unverified|restaurant|has-address|source-openstreetmap
Directory Import,einstein bros. bagels,,breakfast,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 320 South Jackson Street, Athens, 30602. OSM hours: Mo-Fr 07:30-18:00; Su 13:00-19:00.",osm|directory-import|active-unverified|fast-food|breakfast|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,el bajio,,mexican,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 400 Hawthorne Avenue, Athens, 30606.",osm|directory-import|active-unverified|restaurant|mexican|has-address|source-openstreetmap
Directory Import,el barrio tacos & tequila,,mexican,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1331 South Milledge Avenue, Athens, 30605.",osm|directory-import|active-unverified|restaurant|mexican|has-address|source-openstreetmap
Directory Import,el paso tacos & tequila,,mexican,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 255 West Washington Street, 30601. OSM hours: Su-Th 10:30-22:00; Fr-Sa 10:30-22:00.",osm|directory-import|active-unverified|restaurant|mexican|has-hours|has-address|source-openstreetmap
Directory Import,ellianos coffee,,coffee,quicker,,dt,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|cafe|coffee|source-openstreetmap
Directory Import,emmy squared pizza,,pizza,sit down,,normaltown/prince,,"Imported from openstreetmap; needs Matthew try/rating. Address: 199 Prince Avenue, Athens, 30601. OSM hours: Mo-Th 11:00-22:00; Fr 11:00-23:00; Sa-Su 10:00-22:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,empourium rooftop and lounge,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 364 East Broad Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,em's kitchen,,restaurant,sit down,,athens area,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|source-openstreetmap
Directory Import,firehouse subs,,sandwich,fast,,normaltown/prince,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1226 Prince Avenue, Athens, 30601.",osm|directory-import|active-unverified|fast-food|sandwich|chain|fast-casual|has-address|source-openstreetmap
Directory Import,first watch,,american,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 140 Alps Road, Athens, 30606.",osm|directory-import|active-unverified|restaurant|american|chain|has-address|source-openstreetmap
Directory Import,five bar,,pub,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 269 North Hull Street, Athens, 30601. OSM hours: Tu-Sa 16:00-22:00; Su 16:00-21:00; Sa-Su 10:00-15:00.",osm|directory-import|active-unverified|pub|has-hours|has-address|source-openstreetmap
Directory Import,five guys,,burgers,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1850 Epps Bridge Parkway, Athens, 30606. OSM hours: 11:00-21:30.",osm|directory-import|active-unverified|fast-food|burgers|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,flanagan's & the half moon pub,,pub,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 301 East Clayton Street, Athens, 30601. OSM hours: Tu-Sa 17:00-02:00.",osm|directory-import|active-unverified|bar|pub|has-hours|has-address|source-openstreetmap
Directory Import,flicker theatre & bar,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 263 West Washington Street, Athens, 30601. OSM hours: Mo-Sa 16:00-02:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,flowers' discount bakery store,,bakery,quicker,,normaltown/prince,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1455 North Chase Street, Athens, 30607.",osm|directory-import|active-unverified|bakery|has-address|source-openstreetmap
